	InFileName	Input	OutFileName	Output
65	chunked/Input/Ger-150.wav	[-540.70715 -540.70715 -540.70715 ...    0.         0.         0.     ]	chunked/Output/Eng-150.wav	[-524.3153 -524.3153 -524.3153 ...    0.        0.        0.    ]
66	chunked/Input/Ger-151.wav	[-592.4521 -592.4521 -592.4521 ...    0.        0.        0.    ]	chunked/Output/Eng-151.wav	[-533.2629 -533.2629 -533.2629 ...    0.        0.        0.    ]
67	chunked/Input/Ger-152.wav	[-587.7515 -587.7515 -587.7515 ...    0.        0.        0.    ]	chunked/Output/Eng-152.wav	[-531.8949 -531.8949 -531.8949 ...    0.        0.        0.    ]
68	chunked/Input/Ger-153.wav	[-608.1316 -608.1316 -608.1316 ...    0.        0.        0.    ]	chunked/Output/Eng-153.wav	[-514.8623 -514.8623 -514.8623 ...    0.        0.        0.    ]
69	chunked/Input/Ger-154.wav	[-584.26587 -584.26587 -584.26587 ...    0.         0.         0.     ]	chunked/Output/Eng-154.wav	[-537.3404 -537.3404 -537.3404 ...    0.        0.        0.    ]
70	chunked/Input/Ger-155.wav	[-546.95044 -546.95044 -546.95044 ...    0.         0.         0.     ]	chunked/Output/Eng-155.wav	[-539.2323 -539.2323 -539.2323 ...    0.        0.        0.    ]
71	chunked/Input/Ger-156.wav	[-538.8879 -538.8879 -538.8879 ...    0.        0.        0.    ]	chunked/Output/Eng-156.wav	[-503.36206 -503.36206 -503.36206 ...    0.         0.         0.     ]
72	chunked/Input/Ger-157.wav	[-549.4959 -549.4959 -549.4959 ...    0.        0.        0.    ]	chunked/Output/Eng-157.wav	[-544.39453 -544.39453 -544.39453 ...    0.         0.         0.     ]
73	chunked/Input/Ger-158.wav	[-474.1748  -213.28755 -100.05408 ...    0.         0.         0.     ]	chunked/Output/Eng-158.wav	[-564.6872 -564.6872 -564.6872 ...    0.        0.        0.    ]
74	chunked/Input/Ger-159.wav	"[-518.9229    -515.1442    -513.0259    ...    6.6883163    6.2734375
    6.511631 ]"	chunked/Output/Eng-159.wav	[-558.9206 -558.9206 -558.9206 ...    0.        0.        0.    ]
75	chunked/Input/Ger-16.wav	[-532.54913 -532.54913 -532.54913 ...    0.         0.         0.     ]	chunked/Output/Eng-16.wav	[-526.5852 -526.5852 -526.5852 ...    0.        0.        0.    ]
76	chunked/Input/Ger-160.wav	"[-4.5646884e+02 -1.8916081e+02 -8.6981934e+01 ...  2.6829920e+00
  5.6307602e+00 -3.2484889e-02]"	chunked/Output/Eng-160.wav	[-533.0796 -533.0796 -533.0796 ...    0.        0.        0.    ]
77	chunked/Input/Ger-161.wav	[-483.14398 -483.14398 -483.14398 ...    0.         0.         0.     ]	chunked/Output/Eng-161.wav	[-478.66397 -478.66397 -478.66397 ...    0.         0.         0.     ]
78	chunked/Input/Ger-162.wav	[-558.3626 -558.3626 -558.3626 ...    0.        0.        0.    ]	chunked/Output/Eng-162.wav	[-509.05743 -509.05743 -509.05743 ...    0.         0.         0.     ]
79	chunked/Input/Ger-163.wav	[-499.9414 -499.9414 -499.9414 ...    0.        0.        0.    ]	chunked/Output/Eng-163.wav	[-538.72095 -538.72095 -538.72095 ...    0.         0.         0.     ]
80	chunked/Input/Ger-164.wav	[-506.09738 -506.09738 -506.09738 ...    0.         0.         0.     ]	chunked/Output/Eng-164.wav	[-533.57684 -533.57684 -533.57684 ...    0.         0.         0.     ]
81	chunked/Input/Ger-165.wav	[-512.50134 -512.50134 -512.50134 ...    0.         0.         0.     ]	chunked/Output/Eng-165.wav	[-549.4606 -549.4606 -549.4606 ...    0.        0.        0.    ]
82	chunked/Input/Ger-166.wav	[-524.9802 -524.9802 -524.9802 ...    0.        0.        0.    ]	chunked/Output/Eng-166.wav	[-582.0799 -582.0799 -582.0799 ...    0.        0.        0.    ]
83	chunked/Input/Ger-167.wav	[-595.16156 -595.16156 -595.16156 ...    0.         0.         0.     ]	chunked/Output/Eng-167.wav	[-620.3486 -620.3486 -620.3486 ...    0.        0.        0.    ]
84	chunked/Input/Ger-168.wav	[-552.9473 -552.9473 -552.9473 ...    0.        0.        0.    ]	chunked/Output/Eng-168.wav	[-633.0164 -633.0164 -633.0164 ...    0.        0.        0.    ]
85	chunked/Input/Ger-169.wav	[-523.3471 -523.3471 -523.3471 ...    0.        0.        0.    ]	chunked/Output/Eng-169.wav	[-513.30426 -513.30426 -513.30426 ...    0.         0.         0.     ]
86	chunked/Input/Ger-17.wav	[-563.24774 -563.24774 -563.24774 ...    0.         0.         0.     ]	chunked/Output/Eng-17.wav	[-568.84125 -568.84125 -568.84125 ...    0.         0.         0.     ]
87	chunked/Input/Ger-170.wav	[-544.6874 -544.6874 -544.6874 ...    0.        0.        0.    ]	chunked/Output/Eng-170.wav	[-526.7189 -526.7189 -526.7189 ...    0.        0.        0.    ]
88	chunked/Input/Ger-171.wav	[-526.2269 -526.2269 -526.2269 ...    0.        0.        0.    ]	chunked/Output/Eng-171.wav	[-510.1353 -510.1353 -510.1353 ...    0.        0.        0.    ]
89	chunked/Input/Ger-172.wav	[-498.22693 -498.22693 -498.22693 ...    0.         0.         0.     ]	chunked/Output/Eng-172.wav	[-543.2976 -543.2976 -543.2976 ...    0.        0.        0.    ]
90	chunked/Input/Ger-173.wav	[-489.2055 -489.2055 -489.2055 ...    0.        0.        0.    ]	chunked/Output/Eng-173.wav	[-508.14673 -508.14673 -508.14673 ...    0.         0.         0.     ]
91	chunked/Input/Ger-174.wav	[-493.83182 -493.83182 -493.83182 ...    0.         0.         0.     ]	chunked/Output/Eng-174.wav	[-506.40753 -506.40753 -506.40753 ...    0.         0.         0.     ]
92	chunked/Input/Ger-175.wav	[-520.1252 -520.1252 -520.1252 ...    0.        0.        0.    ]	chunked/Output/Eng-175.wav	[-519.4917 -519.4917 -519.4917 ...    0.        0.        0.    ]
93	chunked/Input/Ger-176.wav	[-556.327 -556.327 -556.327 ...    0.       0.       0.   ]	chunked/Output/Eng-176.wav	[-569.1126 -569.1126 -569.1126 ...    0.        0.        0.    ]
94	chunked/Input/Ger-177.wav	[-537.0068 -537.0068 -537.0068 ...    0.        0.        0.    ]	chunked/Output/Eng-177.wav	[-534.4469 -534.4469 -534.4469 ...    0.        0.        0.    ]
95	chunked/Input/Ger-178.wav	[-506.0512 -506.0512 -506.0512 ...    0.        0.        0.    ]	chunked/Output/Eng-178.wav	[-539.3363 -539.3363 -539.3363 ...    0.        0.        0.    ]
96	chunked/Input/Ger-179.wav	[-524.00366 -524.00366 -524.00366 ...    0.         0.         0.     ]	chunked/Output/Eng-179.wav	[-517.3204 -517.3204 -517.3204 ...    0.        0.        0.    ]
97	chunked/Input/Ger-18.wav	[-537.1238 -537.1238 -537.1238 ...    0.        0.        0.    ]	chunked/Output/Eng-18.wav	[-559.02295 -559.02295 -559.02295 ...    0.         0.         0.     ]
98	chunked/Input/Ger-180.wav	[-502.4087 -502.4087 -502.4087 ...    0.        0.        0.    ]	chunked/Output/Eng-180.wav	[-550.5511 -550.5511 -550.5511 ...    0.        0.        0.    ]
99	chunked/Input/Ger-181.wav	[-576.71875 -576.71875 -576.71875 ...    0.         0.         0.     ]	chunked/Output/Eng-181.wav	[-544.80774 -544.80774 -544.80774 ...    0.         0.         0.     ]
100	chunked/Input/Ger-182.wav	[-577.6456 -577.6456 -577.6456 ...    0.        0.        0.    ]	chunked/Output/Eng-182.wav	[-566.0194 -566.0194 -566.0194 ...    0.        0.        0.    ]
101	chunked/Input/Ger-183.wav	[-516.2408 -516.2408 -516.2408 ...    0.        0.        0.    ]	chunked/Output/Eng-183.wav	[-517.31116 -517.31116 -517.31116 ...    0.         0.         0.     ]
102	chunked/Input/Ger-184.wav	[-545.13983 -545.13983 -545.13983 ...    0.         0.         0.     ]	chunked/Output/Eng-184.wav	[-539.62506 -539.62506 -539.62506 ...    0.         0.         0.     ]
103	chunked/Input/Ger-185.wav	[-567.2611 -567.2611 -567.2611 ...    0.        0.        0.    ]	chunked/Output/Eng-185.wav	[-503.10025 -503.10025 -503.10025 ...    0.         0.         0.     ]
104	chunked/Input/Ger-186.wav	[-579.4656 -579.4656 -579.4656 ...    0.        0.        0.    ]	chunked/Output/Eng-186.wav	[-545.97705 -545.97705 -545.97705 ...    0.         0.         0.     ]
105	chunked/Input/Ger-187.wav	[-540.77673 -540.77673 -540.77673 ...    0.         0.         0.     ]	chunked/Output/Eng-187.wav	[-545.5673 -545.5673 -545.5673 ...    0.        0.        0.    ]
106	chunked/Input/Ger-188.wav	[-567.41974 -567.41974 -567.41974 ...    0.         0.         0.     ]	chunked/Output/Eng-188.wav	[-563.4808 -563.4808 -563.4808 ...    0.        0.        0.    ]
107	chunked/Input/Ger-189.wav	[-574.4188 -574.4188 -574.4188 ...    0.        0.        0.    ]	chunked/Output/Eng-189.wav	[-567.595 -567.595 -567.595 ...    0.       0.       0.   ]
108	chunked/Input/Ger-19.wav	[-609.721 -609.721 -609.721 ...    0.       0.       0.   ]	chunked/Output/Eng-19.wav	[-528.8684 -528.8684 -528.8684 ...    0.        0.        0.    ]
109	chunked/Input/Ger-190.wav	[-560.09186 -560.09186 -560.09186 ...    0.         0.         0.     ]	chunked/Output/Eng-190.wav	[-496.1246 -496.1246 -496.1246 ...    0.        0.        0.    ]
110	chunked/Input/Ger-191.wav	[-564.84326 -564.84326 -564.84326 ...    0.         0.         0.     ]	chunked/Output/Eng-191.wav	[-546.2487 -546.2487 -546.2487 ...    0.        0.        0.    ]
111	chunked/Input/Ger-192.wav	[-511.30276 -511.30276 -511.30276 ...    0.         0.         0.     ]	chunked/Output/Eng-192.wav	[-504.6275 -504.6275 -504.6275 ...    0.        0.        0.    ]
112	chunked/Input/Ger-193.wav	[-531.4333 -531.4333 -531.4333 ...    0.        0.        0.    ]	chunked/Output/Eng-193.wav	[-571.41595 -571.41595 -571.41595 ...    0.         0.         0.     ]
113	chunked/Input/Ger-194.wav	[-596.3755 -596.3755 -596.3755 ...    0.        0.        0.    ]	chunked/Output/Eng-194.wav	[-546.60754 -546.60754 -546.60754 ...    0.         0.         0.     ]
114	chunked/Input/Ger-195.wav	[-595.2242 -595.2242 -595.2242 ...    0.        0.        0.    ]	chunked/Output/Eng-195.wav	[-547.1861 -547.1861 -547.1861 ...    0.        0.        0.    ]
115	chunked/Input/Ger-196.wav	[-532.74927 -532.74927 -532.74927 ...    0.         0.         0.     ]	chunked/Output/Eng-196.wav	[-497.58984 -497.58984 -497.58984 ...    0.         0.         0.     ]
116	chunked/Input/Ger-197.wav	[-532.399 -532.399 -532.399 ...    0.       0.       0.   ]	chunked/Output/Eng-197.wav	[-507.05148 -507.05148 -507.05148 ...    0.         0.         0.     ]
117	chunked/Input/Ger-198.wav	[-562.00256 -562.00256 -562.00256 ...    0.         0.         0.     ]	chunked/Output/Eng-198.wav	[-514.40564 -514.40564 -514.40564 ...    0.         0.         0.     ]
118	chunked/Input/Ger-20.wav	[-573.3457 -573.3457 -573.3457 ...    0.        0.        0.    ]	chunked/Output/Eng-20.wav	[-510.52164 -510.52164 -510.52164 ...    0.         0.         0.     ]
119	chunked/Input/Ger-21.wav	[-550.8987 -550.8987 -550.8987 ...    0.        0.        0.    ]	chunked/Output/Eng-21.wav	[-532.2677 -532.2677 -532.2677 ...    0.        0.        0.    ]
120	chunked/Input/Ger-22.wav	[-525.06647 -525.06647 -525.06647 ...    0.         0.         0.     ]	chunked/Output/Eng-22.wav	[-578.79504 -578.79504 -578.79504 ...    0.         0.         0.     ]
121	chunked/Input/Ger-23.wav	[-554.7232 -554.7232 -554.7232 ...    0.        0.        0.    ]	chunked/Output/Eng-23.wav	[-564.0378 -564.0378 -564.0378 ...    0.        0.        0.    ]
122	chunked/Input/Ger-24.wav	[-507.1607 -507.1607 -507.1607 ...    0.        0.        0.    ]	chunked/Output/Eng-24.wav	[-557.4763 -557.4763 -557.4763 ...    0.        0.        0.    ]
123	chunked/Input/Ger-25.wav	[-587.7629 -587.7629 -587.7629 ...    0.        0.        0.    ]	chunked/Output/Eng-25.wav	[-577.39465 -577.39465 -577.39465 ...    0.         0.         0.     ]
124	chunked/Input/Ger-26.wav	[-514.5151 -514.5151 -514.5151 ...    0.        0.        0.    ]	chunked/Output/Eng-26.wav	[-500.75006 -500.75006 -500.75006 ...    0.         0.         0.     ]
125	chunked/Input/Ger-27.wav	[-565.7379 -565.7379 -565.7379 ...    0.        0.        0.    ]	chunked/Output/Eng-27.wav	[-540.23285 -540.23285 -540.23285 ...    0.         0.         0.     ]
126	chunked/Input/Ger-28.wav	[-513.13196 -513.13196 -513.13196 ...    0.         0.         0.     ]	chunked/Output/Eng-28.wav	[-549.0159 -549.0159 -549.0159 ...    0.        0.        0.    ]
127	chunked/Input/Ger-29.wav	[-539.6137 -539.6137 -539.6137 ...    0.        0.        0.    ]	chunked/Output/Eng-29.wav	[-510.3707 -510.3707 -510.3707 ...    0.        0.        0.    ]
128	chunked/Input/Ger-30.wav	[-470.65707 -470.65707 -470.65707 ...    0.         0.         0.     ]	chunked/Output/Eng-30.wav	[-561.3145 -561.3145 -561.3145 ...    0.        0.        0.    ]
129	chunked/Input/Ger-31.wav	[-574.3568 -574.3568 -574.3568 ...    0.        0.        0.    ]	chunked/Output/Eng-31.wav	[-534.16235 -534.16235 -534.16235 ...    0.         0.         0.     ]
130	chunked/Input/Ger-32.wav	[-535.87054 -535.87054 -535.87054 ...    0.         0.         0.     ]	chunked/Output/Eng-32.wav	[-501.1165 -501.1165 -501.1165 ...    0.        0.        0.    ]
131	chunked/Input/Ger-33.wav	[-545.1116 -545.1116 -545.1116 ...    0.        0.        0.    ]	chunked/Output/Eng-33.wav	[-513.66846 -513.66846 -513.66846 ...    0.         0.         0.     ]
132	chunked/Input/Ger-34.wav	[-505.40228 -505.40228 -505.40228 ...    0.         0.         0.     ]	chunked/Output/Eng-34.wav	[-544.0648 -544.0648 -544.0648 ...    0.        0.        0.    ]
133	chunked/Input/Ger-35.wav	[-508.7805 -508.7805 -508.7805 ...    0.        0.        0.    ]	chunked/Output/Eng-35.wav	[-527.01166 -527.01166 -527.01166 ...    0.         0.         0.     ]
134	chunked/Input/Ger-36.wav	[-496.9673 -496.9673 -496.9673 ...    0.        0.        0.    ]	chunked/Output/Eng-36.wav	[-535.4172 -535.4172 -535.4172 ...    0.        0.        0.    ]
135	chunked/Input/Ger-37.wav	[-521.1935 -521.1935 -521.1935 ...    0.        0.        0.    ]	chunked/Output/Eng-37.wav	[-544.2569 -544.2569 -544.2569 ...    0.        0.        0.    ]
